phrase,token_length,n_prompts,elm_average_score,elm_percentile,elm_percentile_bin,linear_average_score,linear_percentile,linear_percentile_bin
bushes,3,66,973.351167158647,0.682121969032116,2,1761.94479462595,0.614834635424658,2
mechanical arms,4,113,973.320259566856,0.682085146339517,2,1855.32095688001,0.743517671823889,2
(ulzzang-6500-v1.1:0.5),21,96,973.312581380208,0.682054460762352,2,1748.31023597717,0.592262324862068,2
cinematic atmosphere,4,86,973.174359343773,0.681876484414795,2,1874.34856609965,0.765267608918456,3
white apron,4,59,973.130696959415,0.681815113260465,2,1750.78416520458,0.596552168549738,2
monster girl,4,96,973.097639083862,0.681790564798733,2,1838.8853708903,0.724652178982835,2
twilight,3,92,973.075642461362,0.681729193644403,2,1813.31691310717,0.691389013335952,2
large penis,5,268,972.889357780343,0.681483709027083,2,1814.65990072222,0.69322401085042,2
tree,3,511,972.415968385461,0.680550867481267,2,1867.79371837161,0.757909207514284,3
(trousers),5,79,971.275882769235,0.678611539004437,2,1816.50293741347,0.695807736447715,2
pokemon,3,50,970.869161987305,0.677899633614209,2,1909.90603027344,0.802213043825141,3
((large breasts)),6,75,970.649874674479,0.677476172649331,2,1782.07396321615,0.646133924132979,2
dnd,3,56,969.896436418806,0.676089184561472,2,1767.18774959019,0.623193386644409,2
collared shirt,5,337,969.886249802587,0.676033950522575,2,1722.52810080327,0.549903954143474,2
beautiful background,4,151,969.767475254488,0.67588052263675,2,1817.81547980909,0.69782071030974,2
ultra realistic 8k cg,7,717,969.223032101428,0.674886309936604,2,1756.03440399383,0.605358929196099,2
2d,4,178,969.199371509338,0.674849487244006,2,1808.79830349697,0.685368503096175,2
((night)),5,55,969.150994318182,0.674769704743377,2,1777.79950727983,0.639610170427696,2
full armor,4,95,969.128474506579,0.674739019166212,2,1893.38144402755,0.785814671388154,3
(8k:1.1),10,74,969.06273712983,0.674628551088418,2,1789.542409536,0.65718686902782,2
concept art,4,958,968.912099308659,0.674333969547633,2,1833.35341355995,0.717956586045427,2
science fiction,4,593,968.368236342329,0.673272248577724,2,1842.8866970326,0.729242741326722,2
pompadour cut,6,51,968.266691918467,0.67314336915363,2,1808.13321700751,0.684435661550358,2
(aegyo sal:1),10,227,968.16500572171,0.672953118575207,2,1714.85390979918,0.536439122883462,2
outdoor,3,638,968.12136477288,0.67283651338198,2,1787.55779943197,0.654130585542184,2
alley,3,128,967.953007221222,0.672584891649227,2,1798.69639015198,0.67054736932547,2
huge penis,5,159,967.396519882874,0.671455662409554,2,1773.62120430425,0.633018908452649,2
long skirt,4,89,967.088879531689,0.67085422509712,2,1703.46100539304,0.516788079266983,2
mansion,3,64,966.961609363556,0.670633288941532,2,1857.86296749115,0.746678286271887,2
pool,3,150,966.437224527995,0.669743407203746,2,1811.76710611979,0.689351491012194,2
(full body:1.4),10,110,966.039875654741,0.669092872967848,2,1751.34473322088,0.59739295336406,2
pixel,3,51,965.806365368413,0.668534395463444,2,1676.78110638787,0.469704129664975,1
rock,3,77,965.749191482346,0.668442338731949,2,1780.81328315239,0.644053442001191,2
(hdr:1.4),9,134,965.431615459385,0.667877724112113,2,1726.72315546292,0.557010733814892,2
park,3,193,965.382209896424,0.667804078726917,2,1756.60478787595,0.60615675420239,2
